"","set","model","feat_type","fold"
"255","set_54","WeightedEnsemble_L2","AtomPairs2DCount",4
"256","set_55","WeightedEnsemble_L2","AtomPairs2DCount",0
"257","set_55","WeightedEnsemble_L2","mordred",1
"258","set_55","WeightedEnsemble_L2","mordred",2
"259","set_55","WeightedEnsemble_L2","PubChem",3
"260","set_55","WeightedEnsemble_L2","KlekotaRothCount",4
"261","set_56","WeightedEnsemble_L2","KlekotaRoth",0
"262","set_56","WeightedEnsemble_L2","SubstructureCount",1
"263","set_56","WeightedEnsemble_L2","AtomPairs2DCount",2
"264","set_56","WeightedEnsemble_L2","padel",3
"265","set_56","WeightedEnsemble_L2","AtomPairs2DCount",4
"266","set_57","WeightedEnsemble_L2","padel",0
"267","set_57","WeightedEnsemble_L2","padel",1
"268","set_57","WeightedEnsemble_L2","AtomPairs2DCount",2
"269","set_57","WeightedEnsemble_L2","AtomPairs2DCount",3
"270","set_57","WeightedEnsemble_L2","SubstructureCount",4
"271","set_58","WeightedEnsemble_L2","KlekotaRothCount",0
"272","set_58","WeightedEnsemble_L2","KlekotaRothCount",1
"273","set_58","WeightedEnsemble_L2","padel",2
"274","set_58","WeightedEnsemble_L2","MACCS",3
"275","set_58","WeightedEnsemble_L2","KlekotaRothCount",4
"276","set_59","WeightedEnsemble_L2","KlekotaRothCount",0
"277","set_59","WeightedEnsemble_L2","CDKgraphonly",1
"278","set_59","WeightedEnsemble_L2","PubChem",2
"279","set_59","WeightedEnsemble_L2","AtomPairs2DCount",3
"280","set_59","WeightedEnsemble_L2","AtomPairs2DCount",4
"281","set_6","WeightedEnsemble_L2","padel",0
"282","set_6","WeightedEnsemble_L2","padel",1
"283","set_6","WeightedEnsemble_L2","mordred",2
"284","set_6","WeightedEnsemble_L2","padel",3
"285","set_6","WeightedEnsemble_L2","SubstructureCount",4
"286","set_60","WeightedEnsemble_L2","padel",0
"287","set_60","WeightedEnsemble_L2","mordred",1
"288","set_60","WeightedEnsemble_L2","padel",2
"289","set_60","WeightedEnsemble_L2","AtomPairs2DCount",3
"290","set_60","WeightedEnsemble_L2","SubstructureCount",4
"291","set_61","WeightedEnsemble_L2","mordred",0
"292","set_61","WeightedEnsemble_L2","mordred",1
"293","set_61","WeightedEnsemble_L2","PubChem",2
"294","set_61","WeightedEnsemble_L2","SubstructureCount",3
"295","set_61","WeightedEnsemble_L2","SubstructureCount",4
"296","set_62","WeightedEnsemble_L2","KlekotaRothCount",0
"297","set_62","WeightedEnsemble_L2","mordred",1
"298","set_62","WeightedEnsemble_L2","EState",2
"299","set_62","WeightedEnsemble_L2","CDKextended",3
"300","set_62","WeightedEnsemble_L2","SubstructureCount",4
"301","set_63","WeightedEnsemble_L2","AtomPairs2DCount",0
"302","set_63","WeightedEnsemble_L2","KlekotaRothCount",1
"303","set_63","WeightedEnsemble_L2","SubstructureCount",2
"304","set_63","WeightedEnsemble_L2","SubstructureCount",3
"305","set_63","WeightedEnsemble_L2","SubstructureCount",4
"306","set_64","WeightedEnsemble_L2","padel",0
"307","set_64","WeightedEnsemble_L2","mordred",1
"308","set_64","WeightedEnsemble_L2","padel",2
"309","set_64","WeightedEnsemble_L2","mordred",3
"310","set_64","WeightedEnsemble_L2","padel",4
"311","set_65","WeightedEnsemble_L2","padel",0
"312","set_65","WeightedEnsemble_L2","AtomPairs2DCount",1
"313","set_65","WeightedEnsemble_L2","AtomPairs2DCount",2
"314","set_65","WeightedEnsemble_L2","KlekotaRothCount",3
"315","set_65","WeightedEnsemble_L2","AtomPairs2DCount",4
"316","set_66","WeightedEnsemble_L2","mordred",0
"317","set_66","WeightedEnsemble_L2","KlekotaRothCount",1
"318","set_66","WeightedEnsemble_L2","mordred",2
"319","set_66","WeightedEnsemble_L2","CDK",3
"320","set_66","WeightedEnsemble_L2","SubstructureCount",4
"321","set_67","WeightedEnsemble_L2","padel",0
"322","set_67","WeightedEnsemble_L2","padel",1
"323","set_67","WeightedEnsemble_L2","padel",2
"324","set_67","WeightedEnsemble_L2","padel",3
"325","set_67","WeightedEnsemble_L2","KlekotaRothCount",4
"326","set_68","WeightedEnsemble_L2","Substructure",0
"327","set_68","WeightedEnsemble_L2","SubstructureCount",1
"328","set_68","WeightedEnsemble_L2","KlekotaRoth",2
"329","set_68","WeightedEnsemble_L2","padel",3
"330","set_68","WeightedEnsemble_L2","KlekotaRoth",4
"331","set_69","WeightedEnsemble_L2","padel",0
"332","set_69","WeightedEnsemble_L2","mordred",1
"333","set_69","WeightedEnsemble_L2","AtomPairs2DCount",2
"334","set_69","WeightedEnsemble_L2","KlekotaRoth",3
"335","set_69","WeightedEnsemble_L2","CDKgraphonly",4
"336","set_7","WeightedEnsemble_L2","mordred",0
"337","set_7","WeightedEnsemble_L2","CDK",1
"338","set_7","WeightedEnsemble_L2","padel",2
"339","set_7","WeightedEnsemble_L2","padel",3
"340","set_7","WeightedEnsemble_L2","AtomPairs2DCount",4
"341","set_70","WeightedEnsemble_L2","AtomPairs2DCount",0
"342","set_70","WeightedEnsemble_L2","AtomPairs2DCount",1
"343","set_70","WeightedEnsemble_L2","KlekotaRothCount",2
"344","set_70","WeightedEnsemble_L2","mordred",3
"345","set_70","WeightedEnsemble_L2","mordred",4
"346","set_71","WeightedEnsemble_L2","padel",0
"347","set_71","WeightedEnsemble_L2","KlekotaRothCount",1
"348","set_71","WeightedEnsemble_L2","KlekotaRoth",2
"349","set_71","WeightedEnsemble_L2","KlekotaRoth",3
"350","set_71","WeightedEnsemble_L2","MACCS",4
"351","set_72","WeightedEnsemble_L2","padel",0
"352","set_72","WeightedEnsemble_L2","padel",1
"353","set_72","WeightedEnsemble_L2","AtomPairs2DCount",2
"354","set_72","WeightedEnsemble_L2","AtomPairs2DCount",3
"355","set_72","WeightedEnsemble_L2","AtomPairs2D",4
"356","set_73","WeightedEnsemble_L2","padel",0
"357","set_73","WeightedEnsemble_L2","KlekotaRoth",1
"358","set_73","WeightedEnsemble_L2","mordred",2
"359","set_73","WeightedEnsemble_L2","AtomPairs2DCount",3
"360","set_73","WeightedEnsemble_L2","KlekotaRothCount",4
"361","set_74","WeightedEnsemble_L2","mordred",0
"362","set_74","WeightedEnsemble_L2","padel",1
"363","set_74","WeightedEnsemble_L2","mordred",2
"364","set_74","WeightedEnsemble_L2","AtomPairs2DCount",3
"365","set_74","WeightedEnsemble_L2","MACCS",4
"366","set_75","WeightedEnsemble_L2","mordred",0
"367","set_75","WeightedEnsemble_L2","KlekotaRothCount",1
